word,count
'such,1166
'public,1162
'page,1141
'bring,1133
'another,1131
'sentence,1128
'morning,1126
'basis,1116
'assume,1111
'deal,1107
'gentleman,1105
'honor,1097
'good,1095
'perhaps,1095
'present,1095
'constitutional,1092
'file,1078
'effect,1069
'raise,1063
'call,1060
'authority,1058
'simply,1056
'voice,1051
'though,1013
'own,996
'overlap,989
'union,982
'interest,978
'least,976
'correct,975
'jurisdiction,974
'place,971
'proceeding,959
'charge,948
'argue,946
'review,944
'provision,942
'still,938
'contract,937
'sort,937
'little,936
'rather,936
'she,929
'involve,927
'need,916
'school,914
'subject,910
'service,908
'standard,906
'grant,904
'down,899
'both,896
'witness,873
'language,869
'either,867
'hearing,866
'lawyer,861
'employee,859
'supreme,858
'every,857
'process,857
'officer,852
'criminal,850
'quite,847
'within,845
'nothing,842
'rate,842
'refer,838
'respect,836
'never,836
'change,835
'property,831
'et,825
'through,821
'true,818
'provide,818
'happen,813
'california,811
'determine,800
'too,800
'work,797
'line,797
'upon,791
'sure,787
'al,781
'whatever,776
'client,775
'second,772
'money,770
'long,766
'city,764
'follow,763
'clear,762
'maybe,761
'oh,760
'consider,757
'solicitor,756
'set,750
'finding,746
'regulation,744
'business,741
'great,736
'testimony,734
'believe,733
'continue,729
'member,729
'entitle,728
'five,721
'concern,720
'corporation,709
'until,706
'four,702
'speak,700
'whole,697
'violation,689
'result,686
'county,684
'petition,682
'test,681
'police,679
'motion,679
'sense,675
'notice,670
'support,669
'circumstance,660
'rely,656
'bank,655
'lot,654
'reasonable,652
'area,650
'practice,649
'someone,649
'defense,648
'recess,644
'base,643
'again,640
'include,639
'employer,639
'stand,635
'limit,633
'hypothetical,633
'constitution,630
'conduct,628
'challenge,628
'agreement,624
'itself,623
'child,622
'york,617
'national,616
'else,616
'clause,615
'indicate,614
'policy,612
'crime,610
'allow,606
'each,604
'private,603
'off,599
'certain,594
'resume,593
'procedure,588
'sir,585
'pass,585
'example,576
'report,574
'mind,574
'most,566
'gentlemen,565
'ground,561
'ever,561
'white,557
'amount,555
'less,549
'complaint,548
'laughter,546
'since,544
'benefit,539
'requirement,538
'system,537
'car,535
'permit,535
'last,531
'her,531
'labor,529
'theory,526
'individual,526
'information,524
'reach,522
'common,521
'warrant,520
'enough,519
'house,519
'therefore,517
'damage,517
'expire,515
'unless,509
'address,509
'name,508
'factor,508
'period,508
'agency,508
'moment,506
'wrong,506
'burden,506
'others,505
'side,505
'department,503
'remedy,502
'write,500
'country,498
'cover,496
'arrest,495
'shall,494
b,493
'direct,493
'further,492
'search,485
'civil,484
'suit,482
'testify,479
'end,479
'discretion,477
'plan,476
'ago,473
'important,472
'open,467
'legislative,467
'guilty,461
'mrs,461
'control,458
'plaintiff,457
'injunction,455
'concede,455
'accept,455
'month,455
'legislature,455
'judicial,455
'carry,452
'due,451
'deny,450
'high,449
'represent,448
'offense,448
'response,448
'office,446
'secretary,446
'appear,445
'type,445
'exactly,442
'send,442
'fee,440
'establish,439
'committee,439
'protection,438
'activity,438
'run,436
'impose,436
'duty,435
'appellant,434
'determination,433
'smith,433
'probably,432
'legal,431
'six,430
'available,430
'prior,430
'protect,430
'respondent,429
'away,426
'request,425
'conviction,424
'start,424
'statutory,424
'commerce,422
'florida,421
'always,420
'distinction,419
'treat,419
'turn,419
'condition,418
'sell,417
'keep,416
'exercise,416
'wallace,414
'specific,413
'become,412
'history,412
'actually,411
'regard,411
'seek,411
'cite,410
'while,408
'return,408
'hour,407
'large,405
'except,405
'possible,401
'clock,401
'railroad,400
'intend,400
'land,400
'form,399
'friend,398
'below,397
'prosecution,396
'able,395
'forth,395
'necessary,395
'violate,394
'draw,393
'prove,392
'enter,392
'instruction,391
'rebuttal,390
'distinguish,390
'move,389
'broad,388
'limitation,387
'please,385
'license,385
'okay,384
'lose,383
'few,381
'later,378
'during,377
'mention,376
'serve,376
'carrier,376
'cost,376
'hand,375
'function,374
'refuse,372
'error,372
'home,369
'relief,367
'immunity,365
'commit,365
'pardon,364
'fair,364
'jones,364
'relation,363
'free,363
'yet,362
'idea,362
'american,359
'today,358
'security,356
'adopt,355
'extent,354
'close,354
'depend,353
'local,352
'once,352
'merit,350
'doubt,349
'prevent,347
'describe,347
'intent,346
'stop,346
'prosecutor,346
'clearly,346
'bar,345
'receive,345
'vote,345
'consideration,344
'ahead,344
'special,342
'account,342
'verdict,341
'necessarily,340
'material,337
'application,336
'already,335
'separate,334
'sign,334
'certiorari,332
'third,331
'relate,330
'feel,330
'doctrine,329
'beyond,328
'admit,327
'robert,327
'election,327
'wonder,326
'illinois,326
'strike,325
'cross,324
'help,324
'indian,324
'bad,323
'fifth,322
'figure,322
'real,321
'price,321
'anyone,320
'administrative,319
'element,319
'grand,319
'meet,317
'group,317
'principle,316
'proposition,316
'affect,316
'conclusion,315
'old,315
'several,314
'pretty,314
'indictment,313
'begin,313
'independent,313
'chief,312
'understood,311
'instead,311
'early,309
'final,309
'drug,309
'association,308
'bit,308
'texas,308
'original,307
'guess,307
'agent,306
'non,306
'penalty,306
'dismiss,306
'sue,305
'presumably,305
'class,305
'date,304
'allege,304
'otherwise,304
'president,303
'habeas,303
'life,302
'obligation,302
'percent,302
'light,300
'affidavit,299
'inquiry,298
'citizen,297
'bind,296
'small,296
'opportunity,295
'bill,295
'sufficient,295
'prison,295
'beg,294
'exist,294
'equal,294
'finish,292
'alright,292
'ninth,291
'fund,290
'convict,290
'recognize,289
'million,289
'sale,289
'fourth,288
'men,287
'somebody,287
'sit,287
'discrimination,287
'interstate,286
'official,285
'virginia,285
'wait,284
'himself,284
'prevail,284
'exception,284
'stewart,284
'book,283
'around,283
'hospital,282
'define,282
'merely,281
'choice,281
'offer,281
'sorry,281
'tribe,281
'wish,280
'reverse,279
'connection,279
'express,279
'liability,278
'value,278
'proof,277
'contempt,277
'patent,277
'organization,276
'care,276
'phillips,275
'proper,274
'dispute,273
'difficult,273
'factual,273
'along,272
'reserve,272
'probable,272
'stay,271
'reference,271
'entirely,271
'objection,271
'kneedler,271
c,270
'community,270
'add,269
'insurance,269
'generally,269
'definition,268
'consequence,267
'instance,267
'exclude,266
'employment,266
'unconstitutional,266
'commissioner,265
'half,265
'summary,265
'incorporate,264
'black,264
'relationship,263
'interpretation,263
'excuse,263
'context,263
'appendix,262
'release,262
'title,262
'outside,261
'full,261
'discuss,261
'event,261
'program,261
'relevant,261
'payment,259
'authorize,259
'enforce,259
'low,258
'engage,258
'step,257
'letter,257
'litigation,256
'consent,256
'approach,256
'specifically,256
'parole,256
'occur,255
'examination,254
'woman,254
'operation,254
'count,254
'surely,254
'water,254
'appropriate,253
'produce,252
'face,252
'object,251
'death,251
'almost,250
'speech,250
'age,250
'murder,249
'article,249
'construction,249
'alien,248
'ordinarily,248
'buy,247
'th,247
'lunch,247
'recall,246
'quote,245
'best,245
'everything,245
'examine,245
'check,245
'construe,245
'favor,244
'majority,243
'complete,243
'conclude,243
'contrary,243
'davis,242
'rest,242
'week,242
'washington,242
'cut,242
'force,241
'market,241
'note,239
'alternative,239
'appellate,238
'operate,238
'louisiana,238
'parent,238
e,237
'privilege,237
'remand,236
'attention,236
'none,236
'plea,236
'bear,235
'building,235
'contend,233
'interpret,233
'revenue,232
'list,232
'prohibit,232
'ought,232
'although,232
'impact,232
'plant,232
'waive,232
'obviously,231
'entire,230
'injury,230
'arbitration,230
'document,229
'transaction,229
'friedman,229
'shapiro,229
'respond,228
'job,228
'single,228
'income,227
'john,227
'oppose,227
'various,226
'trust,226
'sometimes,226
'attack,226
'create,225
'arise,224
'somewhat,224
'stage,224
'however,223
'ohio,223
'apparently,223
'phrase,223
'negro,223
'lead,222
'fire,222
'copy,220
'seven,220
'fail,219
'aspect,219
'allegation,218
'appoint,218
'likely,218
'actual,218
'regulate,217
'somewhere,217
'valid,217
'attempt,216
'communist,215
'oath,215
'gas,214
'church,214
'difficulty,213
'dollar,213
'anybody,213
'failure,212
'prosecute,212
'conflict,212
'degree,212
'possession,212
'discharge,211
'knowledge,211
'doctor,211
'explain,211
'perfectly,210
'themselves,210
'additional,210
'brown,210
'juror,210
'assert,210
'jail,209
'pick,209
'political,209
'sound,209
'punishment,209
'ten,208
'extend,208
'directly,207
'owner,207
'fix,207
'suggestion,207
'practical,207
'comply,207
'future,207
'room,207
'illegal,206
'street,206
'bankruptcy,206
'nature,205
'post,205
'meaning,205
'america,204
'manner,204
'code,204
'remove,204
'big,204
'obtain,203
'enact,203
'live,202
'miller,202
'ordinary,201
'particularly,201
'total,201
'young,200
'paragraph,200
'gun,200
'ordinance,200
'paper,200
'waiver,200
'ship,199
'whom,199
'fraud,199
'foreign,199
'analysis,199
'senator,198
'narrow,198
'risk,197
'maryland,197
'tennessee,197
'perform,196
'fine,196
'discussion,196
'dreeben,196
'pennsylvania,195
'prisoner,195
'choose,194
'newspaper,194
'properly,194
'assistance,194
'consistent,193
'pursue,193
'effort,193
'aside,193
'clerk,193
'ruling,192
'door,192
'mile,191
'precisely,191
'category,191
'war,190
'basic,190
'status,189
'automobile,189
'north,189
'confession,188
'sustain,188
'double,188
'lee,188
'eight,187
'personal,187
'substantial,187
'investigation,187
'short,187
'waxman,187
'avoid,186
'faith,185
'accord,185
'fairly,185
'inference,185
'candidate,185
'olson,185
'justify,184
'felony,184
'disagree,184
'totally,183
'often,183
'industry,183
'religious,183
'writ,182
'award,182
'courtroom,182
'behalf,181
'product,181
'develop,180
'mississippi,180
'interested,179
'representation,179
'legislation,179
'treatment,179
'williams,178
'across,178
'presumption,178
'false,177
'commercial,177
'per,177
'division,177
'fall,177
'bond,176
'satisfy,176
'stevens,176
'win,175
'plead,175
'level,174
'everybody,173
'comment,173
'late,173
'strong,173
'source,173
'yourself,172
'inc,172
'military,171
'increase,171
'liable,170
'alabama,170
'experience,170
'student,170
'easy,170
'jeopardy,170
'break,169
'exemption,168
'internal,168
'demand,168
'reject,168
'field,168
'holding,168
'd,168
'taxpayer,167
'responsibility,167
'defend,167
'hard,167
'hypothesis,167
'medical,166
'identify,166
'johnson,166
'spend,166
'transfer,166
'compel,165
'lawsuit,165
'normal,165
'concept,165
'similar,165
'scope,165
'unreasonable,165
'basically,164
'enforcement,164
'pending,163
'correctly,163
'advance,163
'approve,163
'worker,163
'prejudice,163
'possibility,163
'anyway,162
'thought,162
'transportation,162
'together,162
'affirm,162
'social,162
'transcript,162
'carolina,162
'station,162
'bargaining,161
'walk,161
'substantive,161
'aid,160
'international,160
'michigan,160
'significant,160
'compensation,159
'south,159
'delay,159
'propose,159
'primary,159
'custody,159
'body,158
'mail,158
'de,158
'maintain,157
'lay,157
'utility,157
'reservation,157
'differently,157
'tort,157
'wright,157
'cohen,157
'serious,156
'expert,156
'focus,156
'corpus,156
'build,156
'safety,156
'motor,156
'oil,155
'james,155
'teacher,155
'effective,155
'eighth,155
'applicable,154
'conspiracy,153
'qualify,153
'store,153
'gold,153
'limited,153
'submission,152
'education,152
'adequate,152
'hire,152
'negligence,152
'jurisdictional,152
'existence,151
'supply,151
'magistrate,151
'amend,150
'recent,150
'driver,150
'probation,150
'health,150
'preliminary,150
'drive,149
'contention,149
'past,149
'resolve,149
'contain,149
'expense,149
'capital,149
'arizona,149
'scalia,149
'earlier,148
'objective,148
'representative,148
'truck,148
'decree,148
'privacy,148
'introduce,147
'lack,147
'chance,147
'permissible,147
'press,147
'willing,146
'gather,146
'equity,146
'govern,146
'wife,146
'world,145
'handle,144
'whose,144
'congressional,144
'membership,144
'content,144
'assumption,143
'executive,143
'georgia,143
'arkansas,143
'institution,143
'felt,142
'machine,142
'trade,142
'opponent,142
'credit,142
'percentage,141
'nine,141
'play,141
'policeman,141
'lease,141
'senate,141
'possibly,141
'occasion,141
'disclose,141
'violence,141
'urge,141
'assignment,141
'columbia,141
'yeah,141
'aware,140
'mine,140
'university,140
'collect,139
'cause,139
'race,139
'miss,139
'facility,138
'reading,138
'equally,138
'self,138
'fourteenth,138
'wisconsin,138
'frankfurter,137
'director,137
'mistake,137
'kill,137
'denial,137
'oral,137
'river,137
'william,136
'branch,136
'missouri,136
'abuse,136
'belief,136
'simple,136
'certificate,136
'fellow,136
'kennedy,136
'interrupt,135
'impression,135
'natural,135
'purchase,135
'oklahoma,135
'miranda,135
j,134
'save,134
'finally,134
'undertake,134
'traffic,134
'participate,134
'project,134
'immediately,134
'guard,134
'elect,134
'explanation,134
'estate,134
'stock,133
'remember,133
'constitute,133
'vessel,133
'family,133
'trouble,133
'discriminate,133
'footnote,133
'central,133
'production,133
'pre,133
'frey,133
'oconnor,132
'minor,132
'consolidated,132
'analogy,131
'among,131
'trustee,131
'advise,131
'longer,131
'economic,131
'park,131
'equitable,131
'saw,130
'expect,130
'neither,130
'hope,130
'deference,130
'option,130
'marshall,130
'feldman,130
'contractor,129
'fit,129
'picture,129
'joint,128
'development,128
'governor,128
'stipulation,128
'panel,128
'overrule,128
'absence,127
'terminate,127
'premise,127
'narcotic,127
'subpoena,127
'discovery,127
'sovereign,127
'loss,126
'conference,126
'pleading,126
'unlawful,126
'collateral,126
'portion,125
'usually,125
'weight,125
'traditional,125
'potential,125
'treaty,125
'briefly,124
'access,124
'scheme,124
'foot,124
'colleague,124
'completely,124
'deprive,123
'precise,123
'indigent,123
'meeting,123
'thousand,123
w,123
'sullivan,123
'kentucky,123
'couple,122
'absolute,122
'communication,122
'robbery,121
'pacific,121
'balance,121
'advice,121
'accident,121
'shipper,120
'ultimately,120
'procedural,120
'nor,120
're,120
'indeed,120
'harris,120
'fisher,119
'essential,119
'antitrust,119
'understanding,119
'addition,119
'guilt,119
'minnesota,119
'admission,119
'allen,119
'item,119
'session,119
'jersey,119
'harmless,119
'absolutely,118
'complain,118
'inform,118
'principal,118
'appointment,118
'affirmative,118
'religion,118
'join,117
'compare,117
'reasonably,117
'design,117
'west,117
'freedom,117
'oregon,117
'conversation,117
'prepare,116
'repeat,116
'unfair,116
'filing,116
'debate,116
'posture,115
'minimum,115
'administration,115
'furnish,115
'regardless,115
'substance,115
'litigate,115
'voter,115
'sixth,115
'convention,115
'piece,114
'hall,114
'standing,114
'picket,114
'levy,113
'dissent,113
l,113
'previously,113
'method,113
'father,113
'nobody,113
'examiner,112
'physical,112
'fully,112
'maximum,112
'modify,112
'council,112
'attach,111
'brennan,111
'plain,111
'employ,111
'related,111
'unusual,111
'head,111
'settlement,111
'alone,111
'ad,111
'reply,110
'soon,110
'namely,110
'st,110
'constitutionally,110
'massachusetts,110
'clement,110
'announce,109
'adjourn,109
'settle,109
'anywhere,109
'merger,109
'road,109
'voting,108
h,108
'sheriff,108
'discriminatory,108
'indiana,108
'hundred,108
'significance,107
'associate,107
'mother,107
'army,107
'collective,107
'restriction,107
'subsection,107
'liberty,107
'enterprise,107
'rise,107
'victim,107
'draft,106
'entry,106
'emphasize,106
'seventh,106
'inconsistent,106
'everyone,106
'geller,106
'substantially,105
'expressly,105
'size,105
'study,104
'club,104
'indication,104
'acquire,104
'declaration,104
'preemption,104
'm,103
'render,103
'prohibition,103
'dispose,103
'reduce,103
'seat,103
'guy,103
'train,102
'presume,102
'cent,102
'measure,102
'worth,102
'throughout,102
'se,102
'entity,102
'coast,102
'ford,102
'guideline,102
'eleventh,102
'liquor,101
'normally,101
'character,101
'loan,101
'observe,101
'customer,101
'fundamental,101
'nonetheless,101
'admissible,101
'warning,101
'martin,100
'major,100
'length,100
'inquire,100
'taking,100
'realize,100
'implication,100
'frederick,100
'jackson,100
'green,100
'disclosure,100
'telephone,100
f,99
'declare,99
'arrangement,99
'tie,99
'subsequent,99
'presence,99
'ginsburg,99
'minear,99
'essentially,98
'opposition,98
'reflect,98
'insist,98
'thomas,98
'recover,98
'invalid,98
'starr,98
'steal,97
't,97
'railway,97
'detail,97
'myself,97
'familiar,97
'forward,97
'memorandum,97
'acre,97
'co,97
'confine,96
'advocate,96
'regulatory,96
'voluntary,96
'brother,96
'adversary,96
'appreciate,96
'automatically,96
'showing,96
'motive,96
'anymore,95
'demonstrate,95
'eliminate,95
'legitimate,95
'register,95
'immigration,95
'arm,95
'erroneous,95
'greenberg,95
'superior,95
'travel,95
'ballot,95
'arbitrator,95
'recovery,94
'opposite,94
'direction,94
'ex,94
'population,94
'near,94
'exchange,94
'assign,94
'instruct,94
'minority,94
'mere,94
'share,94
'suspect,94
'dam,94
'applies,94
'governmental,94
'rational,94
'firm,94
'rehnquist,94
'mental,93
'accomplish,93
'necessity,93
'manufacturer,93
'citation,93
'removal,93
'profit,93
'border,93
'guarantee,93
'creditor,93
'enjoin,92
'device,92
'television,92
'responsible,92
'seizure,92
'pursuant,92
'food,92
'clark,92
'iii,92
'juvenile,92
'breyer,92
'throw,91
'welfare,91
'background,91
'initial,91
'mark,91
'sanction,91
'contribution,91
'whereas,91
'preclude,91
'main,91
'chicago,91
'indict,91
'enlarge,91
'air,90
'improper,90
'typical,90
'consumer,90
'beginning,90
'imply,90
'bryson,90
'preserve,90
'select,90
'southern,90
'solve,90
'top,89
'bottom,89
'frank,89
'lie,89
'taylor,89
'dangerous,89
'delegate,89
'precedent,89
'asset,89
'passenger,89
'front,89
'english,89
'bother,88
'san,88
'wage,88
'equipment,88
'inspection,88
'usual,88
'staff,88
'previous,88
'range,88
'structure,88
'punitive,88
'edward,87
'red,87
'gordon,87
'preempt,87
'frequently,87
'publish,87
'credibility,87
'approval,87
'exact,87
'decline,87
'moot,87
'execute,87
'establishment,86
r,86
'justification,86
'importance,86
'game,86
'virtue,86
'irrelevant,86
'confuse,86
'colloquy,86
'capacity,86
'lien,86
'defer,86
'patient,86
'forum,86
'behind,85
'reasoning,85
'originally,85
'contact,85
'plus,85
'approximately,85
'connecticut,85
'blood,84
'injure,84
'terminal,84
'operator,84
'advantage,84
'truth,84
'moore,84
'seize,84
'libel,84
'purely,84
'harlan,84
'coverage,84
'validity,84
'breach,84
'claiborne,84
'spectator,84
'insofar,83
'influence,83
'highway,83
'assistant,83
'exempt,83
'pro,83
'immediate,83
'los,83
'contest,83
'equivalent,83
'uphold,83
'afford,83
'negotiate,83
'classification,82
'exclusive,82
'bench,82
'george,82
'threat,82
'harm,82
'clarify,82
'airline,82
'evans,82
p,81
'assault,81
'beneficiary,81
'danger,81
'controversy,81
'retain,81
'block,81
'inherent,81
'sometime,81
'debt,81
'municipal,81
'divide,81
'arbitrary,81
'ultimate,81
'card,81
'hypothetically,81
'neutral,80
'observation,80
'gross,80
'stipulate,80
'default,80
'thus,79
'stockholder,79
'permanent,79
'outset,79
'veteran,79
'comparable,79
'incident,79
'worry,79
'interior,79
'nevada,79
'bargain,79
'western,79
'conceivably,79
'encourage,79
'obvious,79
'pretrial,78
'accurate,78
'fish,78
'corporate,78
'angeles,78
'innocent,78
'human,78
'financial,78
'dismissal,78
'dakota,78
'speaking,78
'suspend,78
'weapon,78
'somehow,78
'sec,78
'psychiatrist,78
'barnett,78
'burglary,78
'debtor,78
'solely,77
'management,77
'temporary,77
'specify,77
'sum,77
'middle,77
'extra,77
'contemplate,77
'coleman,77
'administrator,77
'confront,77
'color,77
'deduction,77
'interfere,77
'pose,77
'paul,76
'assessment,76
'cash,76
'secure,76
'exclusion,76
'legally,76
'afternoon,76
'coal,76
'custom,76
'powell,76
'frivolous,76
'goldstein,76
'deliver,75
'abstract,75
'thompson,75
'recently,75
'suffer,75
'punish,75
'adult,75
'role,75
'opening,74
'port,74
'precede,74
'certification,74
'tend,74
'electric,74
'pattern,74
'territory,74
'registration,74
'ambiguous,74
'night,74
'abandon,74
'dealer,74
'disposition,74
'racial,74
'resource,74
'apart,74
'tribal,74
'message,74
'cox,73
'intention,73
'suppress,73
'nation,73
'discover,73
'parallel,73
'regular,73
'northern,73
'zone,73
'discretionary,73
'withdraw,73
'bureau,73
'mortgage,73
'chapter,73
'arbitrate,73
'fry,73
'citizenship,72
'track,72
'hardly,72
'dr,72
'initiate,72
'supervisor,72
'personnel,72
'floor,72
'teach,72
'invoke,72
'wilson,72
'substitute,72
'douglas,72
'expectation,72
'applicant,72
'weigh,72
'novo,72
'admonish,72
'blackmun,72
'yesterday,71
'contribute,71
'identical,71
'prescribe,71
'warden,71
'restraint,71
'average,71
'burn,71
'chamber,71
'infer,71
'primarily,71
'qualification,71
'waste,71
'montana,71
'strange,71
'litigant,71
'catch,71
'bus,71
'absent,71
'anderson,71
'kansa,70
'boy,70
'tomorrow,70
'competition,70
'reasonableness,70
'recollection,70
'constitutionality,70
'deportation,70
'identification,70
'combination,70
'ambiguity,70
'evaluate,70
'iowa,70
'ticket,70
'reynolds,70
'restaurant,70
'gornstein,70
'freight,69
'flow,69
'obscenity,69
'considerable,69
'bell,69
'eye,69
'qualified,69
'prefer,69
'termination,69
'desire,68
'evidentiary,68
'jr,68
'colorado,68
'recommendation,68
'commodity,68
'traditionally,68
'vacate,68
'withhold,68
'diversity,68
'mandate,68
'professor,68
'physician,68
'ownership,67
'research,67
'yours,67
'exhibit,67
'declaratory,67
'negotiation,67
'farr,67
'key,67
'republican,67
'rico,67
'gain,67
'reliance,67
'forget,67
'refusal,67
'extreme,67
'congressman,67
'author,67
'stone,67
'route,67
'prettyman,67
'alter,67
'wall,67
'mcconnell,67
'nebraska,67
'larkin,67
'engineer,66
'purport,66
'odd,66
'thereafter,66
'inventory,66
'grievance,66
'accordance,66
'ability,66
'print,66
'destroy,66
'persuade,66
'vehicle,66
'perjury,66
'concession,66
'square,66
'above,66
'consume,66
'critical,66
'formal,66
'strictly,66
'investigate,66
'intervene,66
'ball,66
'hotel,66
'twenty,66
'terry,66
'aedpa,66
'fight,65
'arrive,65
'package,65
'helpful,65
'called,65
'october,65
'condemnation,65
'steel,65
'tenth,65
'energy,65
'executor,65
'morrison,65
'presentation,65
'collins,65
'forfeiture,65
'inside,65
'society,65
'anti,65
'master,65
'avocado,65
'rothfeld,65
'monopoly,64
'volume,64
'compliance,64
'misdemeanor,64
'label,64
'closely,64
'impossible,64
'deport,64
'whatsoever,64
'secondary,64
'fill,64
'institute,64
'import,64
'nevertheless,64
'extension,64
'apartment,64
'cert,64
'ignore,64
'automatic,64
'advertising,64
'mexico,63
'ward,63
'deposition,63
'radio,63
'restrain,63
'bearing,63
'virtually,63
'derive,63
'penitentiary,63
'conceive,63
'march,63
'commitment,63
'resident,63
'island,63
'recite,63
'adverse,63
'twice,63
'shift,63
'remaining,63
'assess,63
'fbi,63
'gray,63
'site,63
'safe,62
'organize,62
'oblige,62
'pier,62
'illustration,62
'drop,62
'belong,62
'workman,62
'net,62
'richard,62
'bound,62
'eligible,62
'bail,62
'articulate,62
'competitor,62
'mill,62
'fault,62
'confer,62
'text,62
'airport,62
'shoot,62
'husband,62
'klein,62
'rosenberg,61
'hurt,61
'fear,61
'democratic,61
'die,61
'revocation,61
'puerto,61
'milk,61
'spell,61
'administer,61
'seaman,61
'expand,61
'lawful,61
'statistic,61
'interim,61
'mahoney,61
'consolidate,61
'hill,61
'intentional,61
'amicus,61
'gottesman,61
'taranto,61
'blatt,61
'claimant,60
'joseph,60
'july,60
'investment,60
'resolution,60
'bag,60
'learn,60
'blue,60
'pronounce,60
'maritime,60
g,60
'lewis,60
'michael,60
'emergency,59
'lake,59
'goldberg,59
'sherman,59
'chairman,59
'compete,59
'disability,59
'transport,59
'certify,59
'repeal,59
'turner,59
'film,59
'extraordinary,59
'tape,59
'campaign,59
'bright,59
'dellinger,59
'brinkmann,59
'story,58
'predicate,58
'june,58
'refund,58
'anytime,58
'foster,58
'inspect,58
'acquit,58
'implied,58
'distance,58
'icc,58
'affirmatively,58
'venue,58
'center,58
'strauss,58
'offender,58
'manslaughter,58
'hit,58
'horowitz,58
'dog,57
'college,57
'listen,57
'performance,57
'delivery,57
'convenience,57
'pertinent,57
'robbins,57
'howard,57
'active,57
'disregard,57
'stuff,57
'revoke,57
'locate,57
'phase,57
'rent,57
'meant,57
'exhaust,57
'deputy,57
'detain,57
'accounting,57
'emphasis,57
'incriminate,57
'cooper,57
'roll,57
'contractual,57
'container,57
'insanity,57
'marijuana,57
'bender,57
'homicide,57
'garre,57
'unit,56
'following,56
'farmer,56
'mandatory,56
'publication,56
'expression,56
'embrace,56
'acknowledge,56
'easily,56
'analyze,56
'explicit,56
'survive,56
'table,56
'evaluation,56
'mitigate,56
'housing,56
'fiduciary,56
'confinement,56
'warren,56
'sentencing,56
'hunt,56
'abortion,56
'box,55
'favorable,55
'connect,55
'attend,55
'farm,55
'series,55
'uniform,55
'reality,55
'affair,55
'secret,55
'differ,55
'producer,55
'century,55
'vague,55
'owe,55
'adoption,55
'seniority,55
'quality,55
'cole,55
'hungar,55
'estrada,55
'boat,54
'restrict,54
x,54
'vice,54
'anticipate,54
'solution,54
'van,54
'refers,54
'wide,54
'rock,54
'charles,54
'execution,54
'heavy,54
'domestic,54
'strict,54
'industrial,54
'purchaser,54
'intrastate,54
'striker,54
'ennis,54
'notion,54
'acquittal,54
'link,54
'pension,53
'boycott,53
'former,53
'proviso,53
'dictum,53
'promise,53
'unable,53
